id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to
852677750544408577,852677750544408577,1492129192000,2017-04-13,17:19:52,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"Read about my journey in The Secrets of My Life- available April, 25 #secretsofmylife  http://caitlynjenner.com/2016/11/21634/  pic.twitter.com/F6a8T5tm8b",[],['http://caitlynjenner.com/2016/11/21634/'],['https://pbs.twimg.com/media/C9VR490XcAA2FW7.jpg'],102,215,943,['#secretsofmylife'],[],https://twitter.com/Caitlyn_Jenner/status/852677750544408577,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
852666714332340224,852666714332340224,1492126561000,2017-04-13,16:36:01,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,".@zekerchief Being trans in the public eye is no joke, but you did good buddy. You made us proud. https://twitter.com/thr/status/852535216975380481 …",['zekerchief'],['https://twitter.com/thr/status/852535216975380481'],[],35,75,764,[],[],https://twitter.com/Caitlyn_Jenner/status/852666714332340224,False,https://twitter.com/THR/status/852535216975380481,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '212326989', 'username': 'zekerchief'}]"
852665768613257216,852665768613257216,1492126335000,2017-04-13,16:32:15,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Congrats @RainValdez on #LopezTVLand! You are a talented actress and filmmaker- and really funny! https://twitter.com/rainvaldez/status/852398555385929732 …,['rainvaldez'],['https://twitter.com/rainvaldez/status/852398555385929732'],[],8,22,175,['#lopeztvland'],[],https://twitter.com/Caitlyn_Jenner/status/852665768613257216,False,https://twitter.com/rainvaldez/status/852398555385929732,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '17481748', 'username': 'rainvaldez'}]"
849755371535126528,849755371535126528,1491432442000,2017-04-05,15:47:22,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Very excited to have worked on this with Buzz. https://twitter.com/grandcentralpub/status/849000161011433473 …,[],['https://twitter.com/grandcentralpub/status/849000161011433473'],[],42,30,289,[],[],https://twitter.com/Caitlyn_Jenner/status/849755371535126528,False,https://twitter.com/GrandCentralPub/status/849000161011433473,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
847939376684204033,847939376684204033,1490999476000,2017-03-31,15:31:16,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,#TransDayOfVisibility There's no better visibility than with sisters by my side. pic.twitter.com/chtUuBlOR0,[],[],['https://pbs.twimg.com/media/C8R8XS_XoAI1cu2.jpg'],104,240,1889,['#transdayofvisibility'],[],https://twitter.com/Caitlyn_Jenner/status/847939376684204033,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
847528580917542912,847528580917542912,1490901534000,2017-03-30,12:18:54,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,@NCAA and businesses need to send a message to NC that hate with a new name is still discrimination #FullRepeal,['ncaa'],[],[],14,19,46,['#fullrepeal'],[],https://twitter.com/Caitlyn_Jenner/status/847528580917542912,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '31122496', 'username': 'NCAA'}]"
847528350226628608,847528350226628608,1490901479000,2017-03-30,12:17:59,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"The new law orders NC cities to discriminate against LGBT people until at least 2020 and unfair ""bathroom bans"" remain..",[],[],[],261,174,724,[],[],https://twitter.com/Caitlyn_Jenner/status/847528350226628608,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
847528061448839168,847528061448839168,1490901410000,2017-03-30,12:16:50,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,This backroom deal is NOT a true repeal of #HB2...,[],[],[],75,151,539,['#hb2'],[],https://twitter.com/Caitlyn_Jenner/status/847528061448839168,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
839602549569146880,839602549569146880,1489011821000,2017-03-08,14:23:41,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,In honor of International Women's Day I'm supporting Bono and @ONECampaign. Join me by making sure #GirlsCount pic.twitter.com/fPR0G4AIe3,['onecampaign'],[],[],166,181,1151,['#girlscount'],[],https://twitter.com/Caitlyn_Jenner/status/839602549569146880,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '16348549', 'username': 'ONECampaign'}]"
834939317457833985,834935434144731136,1487900020000,2017-02-23,17:33:40,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Link to @TransEquality to tell Washington how we feel:  http://salsa4.salsalabs.com/o/51171/p/dia/action3/common/public/?action_KEY=20850 …,['transequality'],['http://salsa4.salsalabs.com/o/51171/p/dia/action3/common/public/?action_KEY=20850'],[],617,491,1526,[],[],https://twitter.com/Caitlyn_Jenner/status/834939317457833985,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '37005435', 'username': 'TransEquality'}]"
834935434144731136,834935434144731136,1487899094000,2017-02-23,17:18:14,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"Well @realDonaldTrump, from one Republican to another, this is a disaster. You made a promise to protect the LGBTQ community. Call me. pic.twitter.com/XwYe0LNUOq",['realdonaldtrump'],[],[],8934,14765,49599,[],[],https://twitter.com/Caitlyn_Jenner/status/834935434144731136,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]"
827614244623364096,827614244623364096,1486153586000,2017-02-03,12:26:26,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"So excited for Jess Herbst. She's changing history!! Jess, I'm so happy for you and excited for your journey",[],[],[],116,130,764,[],[],https://twitter.com/Caitlyn_Jenner/status/827614244623364096,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
826070396080230400,826070396080230400,1485785504000,2017-01-30,06:11:44,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Pre-order at  http://www.caitlynjenner.com  😊#SecretsofMyLife pic.twitter.com/hlTPdxHlsY,[],['http://www.caitlynjenner.com'],[],111,188,884,['#secretsofmylife'],[],https://twitter.com/Caitlyn_Jenner/status/826070396080230400,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
821811789285330944,821811789285330944,1484770173000,2017-01-18,12:09:33,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Republicans need help understanding LGBTQ 🏳️‍🌈 issues and I'm here to help!,[],[],[],2189,867,5965,[],[],https://twitter.com/Caitlyn_Jenner/status/821811789285330944,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
817025267143090176,817025267143090176,1483628977000,2017-01-05,07:09:37,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,It's here!! 😊 https://twitter.com/maccosmetics/status/817023082443538432 …,[],['https://twitter.com/maccosmetics/status/817023082443538432'],[],121,263,1936,[],[],https://twitter.com/Caitlyn_Jenner/status/817025267143090176,False,https://twitter.com/MACcosmetics/status/817023082443538432,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
816375905845022720,816375905845022720,1483474158000,2017-01-03,12:09:18,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,2nd collaboration with @MACcosmetics coming Jan. 5th!! Who's ready to rock 2017? All sexes. All ages. All races. #maccaitlynjenner pic.twitter.com/hHYeCtOE5c,['maccosmetics'],[],['https://pbs.twimg.com/media/C1RZjRuUcAE4e3n.jpg'],207,410,2623,['#maccaitlynjenner'],[],https://twitter.com/Caitlyn_Jenner/status/816375905845022720,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '15225275', 'username': 'MACcosmetics'}]"
805482422011920385,805482422011920385,1480876949000,2016-12-04,10:42:29,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,#CaitlynJennerFoundation has joined w. FireFan to raise money for our community. Download & play to help!  http://bit.ly/2gPPgVk ! #FireFan,[],['http://bit.ly/2gPPgVk'],[],52,99,536,"['#caitlynjennerfoundation', '#firefan']",[],https://twitter.com/Caitlyn_Jenner/status/805482422011920385,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
803288442582900736,803288442582900736,1480353863000,2016-11-28,09:24:23,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Excited to share this with you all :) pic.twitter.com/4Nsngl9Fvb,[],[],['https://pbs.twimg.com/media/CyXaYqLUkAAQDZA.jpg'],132,214,1472,[],[],https://twitter.com/Caitlyn_Jenner/status/803288442582900736,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
801170209981612032,801170209981612032,1479848837000,2016-11-22,13:07:17,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Blown away by @BrandonJenner's new video. What a great message for right now. So proud. #IBelieve https://twitter.com/BrandonJenner/status/800059311166603264 …,['brandonjenner'],['https://twitter.com/BrandonJenner/status/800059311166603264'],[],60,126,929,['#ibelieve'],[],https://twitter.com/Caitlyn_Jenner/status/801170209981612032,False,https://twitter.com/BrandonJenner/status/800059311166603264,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '17359373', 'username': 'BrandonJenner'}]"
798935433224847361,798935433224847361,1479316025000,2016-11-16,09:07:05,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Time for a little light in the world. These people are so inspiring! Watch their stories to celebrate #transvoices  http://glaad-transvoices.info/ ,[],['http://glaad-transvoices.info/'],[],71,115,787,['#transvoices'],[],https://twitter.com/Caitlyn_Jenner/status/798935433224847361,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
792048846373199873,792048846373199873,1477674135000,2016-10-28,10:02:15,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,So proud! All $1.3 mil from #MACCaitlynJenner sent to 21 #trans orgs around the US! Thanks @MACAIDSFund @MACcosmetics! #MACCares pic.twitter.com/Nj7K84mf4p,['maccosmetics'],[],[],89,396,2480,"['#maccaitlynjenner', '#trans', '#maccares']",[],https://twitter.com/Caitlyn_Jenner/status/792048846373199873,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '15225275', 'username': 'MACcosmetics'}]"
784180355418816512,784180355418816512,1475798140000,2016-10-06,16:55:40,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Couldn't be more proud of @MISSBLOSSOM9210 on being among @bustle's #BustleUpstarts Award winners! Congrats :),['bustle'],[],[],38,85,620,['#bustleupstarts'],[],https://twitter.com/Caitlyn_Jenner/status/784180355418816512,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '1426645165', 'username': 'bustle'}]"
775753921788731392,775753921788731392,1473789122000,2016-09-13,10:52:02,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Great job @ncaa. Let's keep it going! https://twitter.com/NCAA/status/775470620163407873 …,['ncaa'],['https://twitter.com/NCAA/status/775470620163407873'],[],93,125,936,[],[],https://twitter.com/Caitlyn_Jenner/status/775753921788731392,False,https://twitter.com/NCAA/status/775470620163407873,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '31122496', 'username': 'NCAA'}]"
771771180130852864,771771180130852864,1472839562000,2016-09-02,11:06:02,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Great piece from my friend @nickgadams on casting in Hollywood http://www.hollywoodreporter.com/news/matt-bomer-transgender-movie-anything-guest-column-925170 …,['nickgadams'],['http://www.hollywoodreporter.com/news/matt-bomer-transgender-movie-anything-guest-column-925170'],[],85,166,704,[],[],https://twitter.com/Caitlyn_Jenner/status/771771180130852864,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '581162295', 'username': 'NickGAdams'}]"
768166388892598272,768166388892598272,1471980113000,2016-08-23,12:21:53,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Who’s in for a round of golf? Help me promote social justice & bid on my @charitybuzz auction! #golfingforgood http://chrty.bz/2bZ7suU ,['charitybuzz'],['http://chrty.bz/2bZ7suU'],[],87,95,660,['#golfingforgood'],[],https://twitter.com/Caitlyn_Jenner/status/768166388892598272,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '17625522', 'username': 'charitybuzz'}]"
765626711752908800,765626711752908800,1471374607000,2016-08-16,12:10:07,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"After 2 amazing seasons of @IAmCait, it's time for the next adventure. Thank you E! & thank you to the best girlfriends I could ask for!",['iamcait'],[],[],490,502,4617,[],[],https://twitter.com/Caitlyn_Jenner/status/765626711752908800,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '3234066668', 'username': 'IAmCait'}]"
757745874776707072,757745874776707072,1469495669000,2016-07-25,18:14:29,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Now here is a deserving cause! I'm so proud of my friend @bisialimi and all the work he's done on this #lgbtrights https://www.kickstarter.com/projects/1608918445/the-boy-from-mushin-documentary …,['bisialimi'],['https://www.kickstarter.com/projects/1608918445/the-boy-from-mushin-documentary'],[],70,198,950,['#lgbtrights'],[],https://twitter.com/Caitlyn_Jenner/status/757745874776707072,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '30493720', 'username': 'bisialimi'}]"
756890261888700417,756890261888700417,1469291675000,2016-07-23,09:34:35,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,You gotta read this. Seriously @JennyBoylan hits it out of the park on this one.  #moral imagination #trans #love http://mobile.nytimes.com/2016/07/23/opinion/bring-moral-imagination-back-in-style.html?ref=opinion&_r=0&referer= …,['jennyboylan'],['http://mobile.nytimes.com/2016/07/23/opinion/bring-moral-imagination-back-in-style.html?ref=opinion&_r=0&referer='],[],44,95,582,"['#moral', '#trans', '#love']",[],https://twitter.com/Caitlyn_Jenner/status/756890261888700417,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '15969172', 'username': 'JennyBoylan'}]"
